seed,kl,M,method,num_samples
2,0.20719289806984875,2,TruncF2,100000
4,0.20708417796674894,2,TruncF2,100000
6,0.20935309291638404,2,TruncF2,100000
8,0.20923467960042075,2,TruncF2,100000
10,0.20907014733682416,2,TruncF2,100000
12,0.20509871304642147,2,TruncF2,100000
14,0.20798395063664543,2,TruncF2,100000
16,0.20636646295809769,2,TruncF2,100000
18,0.2048405491927845,2,TruncF2,100000
20,0.20723421165359213,2,TruncF2,100000
22,0.2063837711882428,2,TruncF2,100000
24,0.20548732689704963,2,TruncF2,100000
26,0.2082609302967704,2,TruncF2,100000
28,0.21036799398115846,2,TruncF2,100000
30,0.20890286575078676,2,TruncF2,100000
32,0.21006974857401062,2,TruncF2,100000
34,0.20277151040215458,2,TruncF2,100000
36,0.20630984013259024,2,TruncF2,100000
38,0.20360360495800123,2,TruncF2,100000
40,0.20616346749092074,2,TruncF2,100000
2,0.19127788558396475,3,TruncF2,100000
4,0.19024402833590415,3,TruncF2,100000
6,0.19216133798800428,3,TruncF2,100000
8,0.19089029884510111,3,TruncF2,100000
10,0.1903690932389459,3,TruncF2,100000
12,0.19149592624039968,3,TruncF2,100000
14,0.19073358792724804,3,TruncF2,100000
16,0.1916134207381539,3,TruncF2,100000
18,0.19157083528770968,3,TruncF2,100000
20,0.18945280324585667,3,TruncF2,100000
22,0.18899566405556456,3,TruncF2,100000
24,0.19202064872920133,3,TruncF2,100000
26,0.1915676174804588,3,TruncF2,100000
28,0.19123824682799295,3,TruncF2,100000
30,0.19369093145778749,3,TruncF2,100000
32,0.19235728757780635,3,TruncF2,100000
34,0.18962534448492718,3,TruncF2,100000
36,0.1940943179448169,3,TruncF2,100000
38,0.19129772547765356,3,TruncF2,100000
40,0.19092644319593788,3,TruncF2,100000
2,0.15216005963590717,6,TruncF2,100000
4,0.15217547564008882,6,TruncF2,100000
6,0.15296378055485604,6,TruncF2,100000
8,0.15095323855656773,6,TruncF2,100000
10,0.15066959541836766,6,TruncF2,100000
12,0.15052245163551703,6,TruncF2,100000
14,0.15018254226237104,6,TruncF2,100000
16,0.15041656344782695,6,TruncF2,100000
18,0.154525149529821,6,TruncF2,100000
20,0.15426994077792244,6,TruncF2,100000
22,0.15264180010222717,6,TruncF2,100000
24,0.14984476153938786,6,TruncF2,100000
26,0.1536771682513347,6,TruncF2,100000
28,0.15111788355649836,6,TruncF2,100000
30,0.15312929098221773,6,TruncF2,100000
32,0.15209990424199304,6,TruncF2,100000
34,0.152881756121662,6,TruncF2,100000
36,0.15453983184429632,6,TruncF2,100000
38,0.15081700467353443,6,TruncF2,100000
40,0.1498754347431266,6,TruncF2,100000
2,0.11026144907529911,10,TruncF2,100000
4,0.11077297638390249,10,TruncF2,100000
6,0.11013228369506578,10,TruncF2,100000
8,0.11063689196936011,10,TruncF2,100000
10,0.11182990079444721,10,TruncF2,100000
12,0.11168616444460966,10,TruncF2,100000
14,0.11388736327154803,10,TruncF2,100000
16,0.11195547125440442,10,TruncF2,100000
18,0.10810524210365813,10,TruncF2,100000
20,0.10963629310224476,10,TruncF2,100000
22,0.1123158863680942,10,TruncF2,100000
24,0.11148146578847928,10,TruncF2,100000
26,0.11444388489806201,10,TruncF2,100000
28,0.11307317559536756,10,TruncF2,100000
30,0.11095034805472537,10,TruncF2,100000
32,0.10949835824818521,10,TruncF2,100000
34,0.11337099035245402,10,TruncF2,100000
36,0.1099344165516456,10,TruncF2,100000
38,0.11151513419403969,10,TruncF2,100000
40,0.10859146785778506,10,TruncF2,100000
2,0.05212340450663433,20,TruncF2,100000
4,0.052228359980905026,20,TruncF2,100000
6,0.05173487599260085,20,TruncF2,100000
8,0.05033436921737788,20,TruncF2,100000
10,0.05177310760813825,20,TruncF2,100000
12,0.051647619150369195,20,TruncF2,100000
14,0.05071578281525291,20,TruncF2,100000
16,0.05181143621601336,20,TruncF2,100000
18,0.05058707509727611,20,TruncF2,100000
20,0.05203872405403587,20,TruncF2,100000
22,0.05167341860340002,20,TruncF2,100000
24,0.05377288708227823,20,TruncF2,100000
26,0.05241522947356003,20,TruncF2,100000
28,0.05402210477426905,20,TruncF2,100000
30,0.05101342599333947,20,TruncF2,100000
32,0.05281392103546878,20,TruncF2,100000
34,0.05239859370391997,20,TruncF2,100000
36,0.049963741227244896,20,TruncF2,100000
38,0.05285271376732581,20,TruncF2,100000
40,0.05219547490300869,20,TruncF2,100000
2,0.030644591633208762,30,TruncF2,100000
4,0.03213545208852153,30,TruncF2,100000
6,0.030850478893253097,30,TruncF2,100000
8,0.03158850115459444,30,TruncF2,100000
10,0.033218067607492685,30,TruncF2,100000
12,0.03157375842911847,30,TruncF2,100000
14,0.0328783719901935,30,TruncF2,100000
16,0.030967895980896998,30,TruncF2,100000
18,0.03101840926788313,30,TruncF2,100000
20,0.03282532414580075,30,TruncF2,100000
22,0.029792752817666468,30,TruncF2,100000
24,0.03156011723406138,30,TruncF2,100000
26,0.031192165628720403,30,TruncF2,100000
28,0.030436435801011186,30,TruncF2,100000
30,0.0329172392844157,30,TruncF2,100000
32,0.03169794622218092,30,TruncF2,100000
34,0.03120261795335466,30,TruncF2,100000
36,0.031521361568152884,30,TruncF2,100000
38,0.03138853782025208,30,TruncF2,100000
40,0.031159664849884194,30,TruncF2,100000
2,0.01579631205127896,50,TruncF2,100000
4,0.015543671290842553,50,TruncF2,100000
6,0.015890831515140036,50,TruncF2,100000
8,0.015868418251592686,50,TruncF2,100000
10,0.014623434522953005,50,TruncF2,100000
12,0.016076637754494527,50,TruncF2,100000
14,0.01560499230703627,50,TruncF2,100000
16,0.015012571085293303,50,TruncF2,100000
18,0.015585735889366958,50,TruncF2,100000
20,0.015502567382029042,50,TruncF2,100000
22,0.01547644718256791,50,TruncF2,100000
24,0.014550997193101267,50,TruncF2,100000
26,0.015708792368272384,50,TruncF2,100000
28,0.015852115131259836,50,TruncF2,100000
30,0.014937269826305055,50,TruncF2,100000
32,0.01509441730906147,50,TruncF2,100000
34,0.014342127386022696,50,TruncF2,100000
36,0.016628126177270275,50,TruncF2,100000
38,0.014649491740016174,50,TruncF2,100000
40,0.014450540476147467,50,TruncF2,100000
2,0.011028519217735067,60,TruncF2,100000
4,0.011632426563547682,60,TruncF2,100000
6,0.012414654656375035,60,TruncF2,100000
8,0.01177263519683791,60,TruncF2,100000
10,0.010901455780167879,60,TruncF2,100000
12,0.011579572629301538,60,TruncF2,100000
14,0.01216174270590642,60,TruncF2,100000
16,0.012420152258890482,60,TruncF2,100000
18,0.011176697150464321,60,TruncF2,100000
20,0.011196547097178211,60,TruncF2,100000
22,0.01157769774484052,60,TruncF2,100000
24,0.01147432835326967,60,TruncF2,100000
26,0.011591849399671617,60,TruncF2,100000
28,0.012018611720414185,60,TruncF2,100000
30,0.011959076797396051,60,TruncF2,100000
32,0.011773052893151004,60,TruncF2,100000
34,0.011833827256708673,60,TruncF2,100000
36,0.011882468457148576,60,TruncF2,100000
38,0.011741605537082478,60,TruncF2,100000
40,0.011984757165560467,60,TruncF2,100000
2,0.004567954598922341,100,TruncF2,100000
4,0.005194949649929725,100,TruncF2,100000
6,0.005261348041074143,100,TruncF2,100000
8,0.005131517896067805,100,TruncF2,100000
10,0.004904834892261789,100,TruncF2,100000
12,0.004901737809937856,100,TruncF2,100000
14,0.004708676544048274,100,TruncF2,100000
16,0.004745079270410457,100,TruncF2,100000
18,0.004849397301271097,100,TruncF2,100000
20,0.004991913074984922,100,TruncF2,100000
22,0.004844479783638889,100,TruncF2,100000
24,0.00480079506337816,100,TruncF2,100000
26,0.005019324745266118,100,TruncF2,100000
28,0.005076901560659763,100,TruncF2,100000
30,0.004880125408458724,100,TruncF2,100000
32,0.004524872767866839,100,TruncF2,100000
34,0.004801244156883655,100,TruncF2,100000
36,0.004946642860346628,100,TruncF2,100000
38,0.0050116717186590165,100,TruncF2,100000
40,0.004218646515266045,100,TruncF2,100000
2,0.0019277774259265357,200,TruncF2,100000
4,0.002254702810361664,200,TruncF2,100000
6,0.0024892921644514843,200,TruncF2,100000
8,0.002267198077820609,200,TruncF2,100000
10,0.0022934116200659105,200,TruncF2,100000
12,0.002154522775079215,200,TruncF2,100000
14,0.0023290601648149334,200,TruncF2,100000
16,0.00242523134506456,200,TruncF2,100000
18,0.0023356105048577547,200,TruncF2,100000
20,0.0025499119844383245,200,TruncF2,100000
22,0.002060525572375127,200,TruncF2,100000
24,0.002566651048972801,200,TruncF2,100000
26,0.0024930231209729925,200,TruncF2,100000
28,0.002255698427362063,200,TruncF2,100000
30,0.0024140177640887828,200,TruncF2,100000
32,0.002377483520945134,200,TruncF2,100000
34,0.002308945532909945,200,TruncF2,100000
36,0.0021732313536766412,200,TruncF2,100000
38,0.002278223119578371,200,TruncF2,100000
40,0.0020165809028149795,200,TruncF2,100000
2,0.0018483916921532284,300,TruncF2,100000
4,0.0015631312828929822,300,TruncF2,100000
6,0.0022163323234352106,300,TruncF2,100000
8,0.001883065322939359,300,TruncF2,100000
10,0.0016093184970564778,300,TruncF2,100000
12,0.00197816581765764,300,TruncF2,100000
14,0.0019955835629872354,300,TruncF2,100000
16,0.0015439622921427087,300,TruncF2,100000
18,0.0015602105256427024,300,TruncF2,100000
20,0.0015058008001886947,300,TruncF2,100000
22,0.002032952338726801,300,TruncF2,100000
24,0.0020726463884415125,300,TruncF2,100000
26,0.0017523203308762447,300,TruncF2,100000
28,0.0022772947482323502,300,TruncF2,100000
30,0.00237246663595414,300,TruncF2,100000
32,0.0017391499096675034,300,TruncF2,100000
34,0.0019042152498194298,300,TruncF2,100000
36,0.002096164311428339,300,TruncF2,100000
38,0.002131381656184317,300,TruncF2,100000
40,0.0020838145017982868,300,TruncF2,100000
